time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-28T22:45:17.428Z,38.8794,-97.429,5,2.6,mb_lg,20,125,0.676,0.28,us,us7000it46,2022-11-29T05:55:26.185Z,"",earthquake,2.87,2.002,0.096,28,reviewed,us,us
2022-11-28T18:59:23.630Z,31.55439337,-104.1371084,6.645727539,3.5,ml,28,94,0.06394206948,0.2,tx,tx2022xifc,2022-11-29T20:18:15.527Z,"42 km NW of Toyah, Texas",earthquake,0.951248195,0.8525760928,0.2,28,reviewed,tx,tx
2022-11-28T02:33:36.759Z,35.28283333,-98.01716667,6.75,2.9,ml,96,25,0,0.25,ok,ok2022xgyp,2022-11-29T16:42:42.117Z,"7 km WSW of Minco, Oklahoma",earthquake,,0.4,0.22,42,reviewed,ok,ok
2022-11-28T01:54:59.726Z,31.60928415,-103.9636918,8.856616211,2.5,ml,21,51,0.09247617778,0.1,tx,tx2022xgxi,2022-11-28T22:35:37.699Z,"36 km WSW of Mentone, Texas",earthquake,0.6318803144000001,1.173837599,0.2,30,reviewed,tx,tx
2022-11-27T11:49:45.090Z,33.1608333,-116.0193333,3.29,2.63,ml,77,27,0.0371,0.19,ci,ci40381488,2022-11-28T23:02:00.946Z,"11km E of Ocotillo Wells, CA",earthquake,0.14,0.35,0.08,24,reviewed,ci,ci
2022-11-27T04:21:04.350Z,31.68216525,-104.3893176,6.080151367,2.6,ml,41,65,0.03123944252,0.2,tx,tx2022xfgo,2022-11-29T08:48:18.003Z,"54 km S of Whites City, New Mexico",earthquake,0.7756321779,0.7476161329,0.1,26,reviewed,tx,tx
2022-11-27T04:00:15.650Z,40.3543333,-124.5653333,25.42,2.66,md,31,235,0.1826,0.17,nc,nc73811936,2022-11-30T04:48:28.040Z,"24km W of Petrolia, CA",earthquake,0.71,0.88,0.202,36,reviewed,nc,nc
2022-11-26T16:07:26.095Z,31.68666321,-104.4044329,6.028735352,3.1,ml,27,53,0.03853210815,0.2,tx,tx2022xeij,2022-11-28T10:35:23.509Z,"54 km S of Whites City, New Mexico",earthquake,0.7324375305,0.6606405197,0.1,15,reviewed,tx,tx
2022-11-26T14:37:19.088Z,37.9932,-118.2341,4,2.6,ml,25,57.38,0.261,0.1288,nn,nn00852064,2022-11-28T18:40:21.664Z,"28 km NE of Benton, California",earthquake,,1.4,0.36,10,reviewed,nn,nn
2022-11-26T07:34:42.900Z,35.5861667,-116.9095,1.99,2.52,ml,24,83,0.1614,0.14,ci,ci40381112,2022-11-30T16:10:44.879Z,"41km NNW of Fort Irwin, CA",earthquake,0.19,0.83,0.162,92,reviewed,ci,ci
2022-11-26T03:35:34.457Z,31.56777641,-104.097804,6.093005371,2.9,ml,25,89,0.0260658877,0.1,tx,tx2022xdjo,2022-11-28T09:55:28.871Z,"40 km NW of Toyah, Texas",earthquake,0.5935271382000001,0.4279970683,0.1,14,reviewed,tx,tx
2022-11-26T03:15:51.460Z,36.7043333,-121.3368333,2.81,2.6,md,55,47,0.008379,0.1,nc,nc73811581,2022-11-30T04:09:00.040Z,"10km S of Tres Pinos, CA",earthquake,0.19,0.22,0.153,77,reviewed,nc,nc
2022-11-26T01:16:43.110Z,36.6423333,-121.2633333,6.36,2.7,md,71,66,0.05188,0.11,nc,nc73811561,2022-11-29T03:54:13.098Z,"16km NW of Pinnacles, CA",earthquake,0.12,0.32,0.131,89,reviewed,nc,nc
2022-11-25T23:34:04.918Z,48.0327,-69.6726,18.509,2.5,ml,10,139,0.655,0.27,us,us7000isip,2022-11-30T07:10:47.040Z,"St. Lawrence Valley region, Quebec, Canada",earthquake,1.88,8.392,0.081,20,reviewed,us,us
2022-11-25T16:37:54.880Z,35.28533333,-98.01083333,7.33,2.8,ml,89,37,0,0.24,ok,ok2022xcny,2022-11-28T14:15:56.160Z,"6 km WSW of Minco, Oklahoma",earthquake,,0.4,0.25,48,reviewed,ok,ok
2022-11-25T14:17:37.967Z,31.6665,-104.4627,19.682,3.2,ml,20,119,0.033,0.79,us,us7000isba,2022-11-25T14:58:52.040Z,"57 km S of Whites City, New Mexico",earthquake,2.14,6.826,0.085,46,reviewed,us,us
2022-11-25T11:27:17.727Z,32.43255615,-102.0742426,9.268351237,2.6,ml,14,68,0.0866120179,0.1,tx,tx2022xcdr,2022-11-28T22:47:04.454Z,"35 km SSW of Los Ybanez, Texas",earthquake,0.683702758,1.441473352,0.3,18,reviewed,tx,tx
2022-11-25T11:09:53.048Z,47.2602,-115.2696,15.941,2.6,ml,16,55,0.764,0.42,us,us7000isak,2022-11-25T11:24:50.040Z,"13 km WSW of Saint Regis, Montana",earthquake,1.36,8.286,0.064,32,reviewed,us,us
2022-11-25T09:06:01.510Z,33.9923333,-118.3508333,9.84,2.52,ml,98,38,0.009214,0.21,ci,ci40380672,2022-11-29T19:23:49.230Z,"0km SSW of View Park-Windsor Hills, CA",earthquake,0.14,0.31,0.172,132,reviewed,ci,ci
2022-11-25T03:29:50.909Z,37.2713,-97.9353,9.101,2.5,ml,28,104,0.183,0.29,us,us7000is8q,2022-11-25T05:07:28.916Z,"4 km WSW of Danville, Kansas",earthquake,1.34,8.256,0.064,32,reviewed,us,us
2022-11-25T00:48:20.822Z,38.1701,-116.7331,2.1,2.6,ml,19,93.17,0.696,0.1599,nn,nn00852012,2022-11-25T19:09:14.548Z,"45 km ENE of Tonopah, Nevada",earthquake,,1.6,0.36,9,reviewed,nn,nn
2022-11-24T21:18:20.048Z,31.5695,-115.694,13.17,2.6,ml,21,86,0.194,0.61,us,us7000is6y,2022-11-27T00:27:23.040Z,"Baja California, Mexico",earthquake,1.63,6.394,0.062,34,reviewed,us,us
2022-11-24T20:51:13.477Z,31.61248783,-104.0028423,7.712609863,3,ml,26,35,0.0146823897,0.1,tx,tx2022xbat,2022-11-24T22:15:56.040Z,"38 km NNW of Toyah, Texas",earthquake,0.4348220461,0.3643216909,0.1,14,reviewed,tx,tx
2022-11-24T20:50:33.699Z,31.61348604,-103.9791765,8.509558105,2.9,ml,34,42,0.00924858362,0.1,tx,tx2022xbaw,2022-11-30T15:43:43.040Z,"37 km WSW of Mentone, Texas",earthquake,0.4366896767,0.3813544663,0.2,25,reviewed,tx,tx
2022-11-24T19:25:47.585Z,31.6155766,-104.0067572,7.982543944999999,2.5,ml,19,56,0.01029470364,0.2,tx,tx2022xaxz,2022-11-30T14:42:45.040Z,"39 km NNW of Toyah, Texas",earthquake,0.5904878257,0.6254181135,0.2,12,reviewed,tx,tx
2022-11-24T19:19:28.736Z,31.62158071,-103.9981778,7.93112793,4.9,ml,25,53,0.01679806998,0.1,tx,tx2022xaxs,2022-11-30T14:42:39.871Z,"38 km WSW of Mentone, Texas",earthquake,0.5109176974,0.7058904086,0.1,15,reviewed,tx,tx
